,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
47067,юр. лицо,списание средств,832.38,безналичный,Могилев,Беларусбанк-BFET-567,25-09-2000,03:52:40,недостаточно средств,да,39.8
47072,юр. лицо,списание средств,804.52,наличный,Брест,Белинвестбанк-XUXZ-849,02-01-2005,03:34:28,успешно,да,50.84
47074,юр. лицо,списание средств,4695.49,наличный,Брест,МаксБанк-ARYF-735,27-11-2020,14:44:43,успешно,да,137.0
47079,физ. лицо,списание средств,338.68,наличный,Минск,Беларусбанк-IILI-346,11-07-2009,00:56:45,успешно,да,29.0
47088,физ. лицо,списание средств,603.62,наличный,Гродно,МаксБанк-LMSO-002,05-10-2022,16:39:39,неправильный ввод пин-кода,да,11.11
47089,физ. лицо,списание средств,3977.34,наличный,Могилев,БелАгропромбанк-UDFP-244,10-01-2006,17:33:21,недостаточно средств,да,350.95
47095,юр. лицо,списание средств,511.32,безналичный,Минск,Приорбанк-MWJA-394,16-02-2012,21:32:42,неправильный ввод пин-кода,да,42.81
47101,юр. лицо,списание средств,4318.97,безналичный,Витебск,Беларусбанк-CJRK-057,22-09-2020,08:44:04,неправильный ввод пин-кода,да,212.53
47106,юр. лицо,списание средств,827.56,наличный,Витебск,БелАгропромбанк-AGJG-844,27-08-2008,03:07:44,неправильный ввод пин-кода,да,80.75
47109,физ. лицо,списание средств,1721.74,наличный,Минск,МаксБанк-QQZS-819,21-08-2012,00:55:12,успешно,да,121.88
47113,физ. лицо,списание средств,4871.75,безналичный,Гомель,Приорбанк-LYTC-304,08-08-2018,18:02:46,недостаточно средств,да,329.17
47123,юр. лицо,списание средств,99.08,наличный,Могилев,БелАгропромбанк-WGPM-693,26-09-2003,12:26:13,успешно,да,7.6
47126,физ. лицо,списание средств,814.91,наличный,Минск,БелАгропромбанк-TUQX-804,14-11-2000,18:37:37,неправильный ввод пин-кода,да,66.09
47130,юр. лицо,списание средств,1352.05,наличный,Минск,Приорбанк-MCJJ-138,24-12-2006,04:42:00,успешно,да,66.5
47136,физ. лицо,списание средств,3822.12,безналичный,Гомель,Приорбанк-SAHZ-285,16-04-2001,22:11:54,неправильный ввод пин-кода,да,321.72
47137,юр. лицо,списание средств,4959.33,наличный,Минск,Беларусбанк-FZLU-677,25-06-2001,21:15:54,успешно,да,355.42
47139,юр. лицо,списание средств,1286.2,наличный,Минск,МаксБанк-WGXL-486,09-07-2023,08:26:46,неправильный ввод пин-кода,да,40.0
47141,юр. лицо,списание средств,2612.53,наличный,Минск,Белинвестбанк-EQBI-525,28-06-2020,08:17:15,успешно,да,249.02
47142,юр. лицо,списание средств,3369.32,наличный,Гомель,МаксБанк-TWNG-043,02-05-2003,07:45:00,недостаточно средств,да,222.16
47143,физ. лицо,списание средств,2493.69,наличный,Гомель,Белинвестбанк-GGDF-099,21-06-2001,23:28:33,неправильный ввод пин-кода,да,138.0
47144,физ. лицо,списание средств,170.83,наличный,Могилев,Приорбанк-CKRS-442,07-12-2012,04:30:50,неправильный ввод пин-кода,да,8.46
47147,юр. лицо,списание средств,4298.11,наличный,Могилев,Приорбанк-IOYQ-478,04-02-2000,06:54:01,успешно,да,321.92
47148,физ. лицо,списание средств,3771.72,наличный,Могилев,Беларусбанк-WZVZ-266,21-09-2013,15:11:47,успешно,да,217.39
47161,физ. лицо,списание средств,4888.31,безналичный,Могилев,Приорбанк-KSDY-914,02-11-2002,12:07:14,недостаточно средств,да,355.59
47167,юр. лицо,списание средств,4104.89,наличный,Брест,Приорбанк-EBTT-189,12-07-2015,10:26:42,неправильный ввод пин-кода,да,333.11
47171,юр. лицо,списание средств,2368.17,наличный,Минск,МаксБанк-ETBG-344,30-04-2008,23:57:56,неправильный ввод пин-кода,да,103.6
47173,юр. лицо,списание средств,4046.81,безналичный,Брест,БелАгропромбанк-PJHT-491,28-01-2022,21:35:49,успешно,да,231.27
47183,юр. лицо,списание средств,3605.53,безналичный,Гомель,Беларусбанк-YUTP-833,11-05-2003,20:43:33,недостаточно средств,да,311.29
47187,физ. лицо,списание средств,3855.79,безналичный,Гомель,БелАгропромбанк-GKIH-108,18-07-2019,03:17:29,неправильный ввод пин-кода,да,233.31
47190,физ. лицо,списание средств,2645.0,безналичный,Гомель,Беларусбанк-MLWC-565,19-10-2005,21:54:20,успешно,да,98.61
47198,физ. лицо,списание средств,1560.98,наличный,Витебск,Беларусбанк-DVLZ-206,20-09-2002,21:27:52,неправильный ввод пин-кода,да,83.96
47206,физ. лицо,списание средств,1133.52,наличный,Минск,Беларусбанк-FVAT-246,30-06-2009,07:12:02,недостаточно средств,да,75.44
47211,юр. лицо,списание средств,494.08,безналичный,Гродно,Приорбанк-MMWB-155,26-09-2019,13:07:21,недостаточно средств,да,41.9
47225,юр. лицо,списание средств,3391.14,наличный,Минск,БелАгропромбанк-QPLM-732,07-08-2023,06:38:30,неправильный ввод пин-кода,да,214.24
47237,физ. лицо,списание средств,874.3,наличный,Гродно,БелАгропромбанк-KHXC-224,05-12-2024,08:42:10,недостаточно средств,да,22.02
47240,физ. лицо,списание средств,1862.16,наличный,Брест,БелАгропромбанк-LOML-454,03-06-2017,02:05:17,успешно,да,169.63
47242,физ. лицо,списание средств,907.37,наличный,Гомель,МаксБанк-HUEN-488,06-01-2017,23:46:45,недостаточно средств,да,59.04
47246,юр. лицо,списание средств,995.49,безналичный,Брест,МаксБанк-WHWM-130,17-07-2017,10:52:19,неправильный ввод пин-кода,да,62.56
47248,физ. лицо,списание средств,1323.93,безналичный,Гомель,Приорбанк-YXAR-915,02-08-2006,09:42:03,неправильный ввод пин-кода,да,71.48
47250,физ. лицо,списание средств,201.23,безналичный,Гомель,Белинвестбанк-TXVO-692,09-05-2018,16:25:48,недостаточно средств,да,5.48
47251,юр. лицо,списание средств,50.83,наличный,Минск,Приорбанк-EKSC-446,08-03-2008,19:49:02,успешно,да,1.47
47270,физ. лицо,списание средств,464.41,наличный,Гродно,МаксБанк-VTQT-147,31-03-2002,10:09:37,успешно,да,16.58
47274,физ. лицо,списание средств,4836.02,наличный,Минск,БелАгропромбанк-SJUD-568,10-03-2018,17:39:33,недостаточно средств,да,407.15
47277,юр. лицо,списание средств,2327.12,безналичный,Гомель,Приорбанк-NLSL-900,17-02-2007,17:03:28,недостаточно средств,да,192.27
47285,физ. лицо,списание средств,472.96,безналичный,Гродно,Беларусбанк-EVMR-172,12-01-2016,22:11:03,неправильный ввод пин-кода,да,42.79
47288,юр. лицо,списание средств,479.19,наличный,Могилев,МаксБанк-DKCH-879,04-04-2020,17:09:30,успешно,да,46.23
47294,физ. лицо,списание средств,2908.28,безналичный,Минск,Белинвестбанк-THOX-474,29-01-2018,17:52:21,недостаточно средств,да,33.57
47301,юр. лицо,списание средств,2557.59,безналичный,Гомель,МаксБанк-TSXS-793,12-08-2006,23:29:03,недостаточно средств,да,188.12
47303,физ. лицо,списание средств,1131.48,безналичный,Могилев,БелАгропромбанк-UPGQ-255,19-11-2003,18:04:42,недостаточно средств,да,85.29
47308,юр. лицо,списание средств,1121.81,наличный,Гродно,БелАгропромбанк-WYSK-978,04-06-2005,11:39:47,неправильный ввод пин-кода,да,88.68
47316,юр. лицо,списание средств,3511.34,наличный,Гродно,БелАгропромбанк-JYDR-932,17-10-2024,22:58:05,успешно,да,343.34
47320,юр. лицо,списание средств,1456.71,наличный,Витебск,Приорбанк-BVMT-316,13-12-2013,03:34:50,успешно,да,78.51
47321,физ. лицо,списание средств,3155.86,безналичный,Гомель,МаксБанк-IHLD-310,04-07-2005,23:03:15,недостаточно средств,да,284.17
47326,физ. лицо,списание средств,4159.95,безналичный,Гродно,Беларусбанк-QVHA-536,04-11-2020,00:50:50,неправильный ввод пин-кода,да,131.68
47333,юр. лицо,списание средств,1047.67,наличный,Могилев,Беларусбанк-FMZC-983,05-02-2003,19:49:12,успешно,да,60.02
47335,юр. лицо,списание средств,3018.43,наличный,Могилев,БелАгропромбанк-GDMB-315,16-02-2014,09:54:36,недостаточно средств,да,48.16
47338,физ. лицо,списание средств,1742.51,безналичный,Витебск,БелАгропромбанк-OBAK-466,02-03-2017,15:26:15,неправильный ввод пин-кода,да,168.63
47342,физ. лицо,списание средств,4362.38,безналичный,Могилев,МаксБанк-ZPIX-860,03-05-2004,14:43:58,успешно,да,184.22
47349,юр. лицо,списание средств,4178.62,безналичный,Гродно,МаксБанк-MJAT-254,07-12-2004,13:37:47,успешно,да,258.89
47362,юр. лицо,списание средств,2631.73,безналичный,Гомель,Приорбанк-MZEN-330,09-02-2008,12:37:31,недостаточно средств,да,27.45
47369,юр. лицо,списание средств,4956.53,безналичный,Витебск,Белинвестбанк-NAIW-729,13-03-2012,06:12:37,успешно,да,413.67
47371,физ. лицо,списание средств,620.68,безналичный,Брест,БелАгропромбанк-IEUQ-978,20-04-2007,00:30:26,недостаточно средств,да,58.28
47375,физ. лицо,списание средств,1662.41,наличный,Могилев,Приорбанк-LACL-138,18-07-2006,18:15:50,недостаточно средств,да,127.29
47381,юр. лицо,списание средств,334.36,безналичный,Витебск,Приорбанк-BMGX-666,05-02-2024,18:00:31,успешно,да,5.34
47389,физ. лицо,списание средств,1694.18,наличный,Могилев,Приорбанк-YPCL-340,23-03-2023,19:42:24,успешно,да,67.1
47390,юр. лицо,списание средств,4627.62,безналичный,Могилев,МаксБанк-VFJT-766,28-12-2007,16:36:07,успешно,да,203.79
47396,физ. лицо,списание средств,1162.16,безналичный,Минск,Приорбанк-ERPT-408,01-02-2003,17:29:55,успешно,да,17.51
47397,юр. лицо,списание средств,1088.34,наличный,Гродно,Приорбанк-GPLN-112,02-12-2006,10:13:19,неправильный ввод пин-кода,да,16.72
47398,физ. лицо,списание средств,1046.68,наличный,Минск,БелАгропромбанк-AZEQ-224,16-05-2007,19:20:39,недостаточно средств,да,96.49
47400,физ. лицо,списание средств,224.96,безналичный,Минск,Белинвестбанк-HMFC-125,07-04-2017,05:41:18,недостаточно средств,да,7.55
47414,юр. лицо,списание средств,906.11,безналичный,Гомель,Белинвестбанк-UIBE-830,16-04-2014,10:41:48,успешно,да,33.53
47418,юр. лицо,списание средств,4542.69,наличный,Минск,БелАгропромбанк-IADA-262,25-12-2017,04:26:16,неправильный ввод пин-кода,да,131.78
47425,физ. лицо,списание средств,929.14,наличный,Гродно,БелАгропромбанк-RHEZ-696,05-06-2019,11:47:15,неправильный ввод пин-кода,да,40.42
47426,физ. лицо,списание средств,4133.93,безналичный,Минск,МаксБанк-ZCZZ-327,03-07-2005,07:31:52,недостаточно средств,да,203.58
47428,физ. лицо,списание средств,4368.44,безналичный,Гомель,Белинвестбанк-XEIN-973,22-07-2016,17:43:47,недостаточно средств,да,171.83
47442,физ. лицо,списание средств,1010.73,безналичный,Минск,МаксБанк-FQIK-845,03-12-2000,23:41:12,недостаточно средств,да,53.02
47443,юр. лицо,списание средств,1137.73,безналичный,Витебск,Приорбанк-OJLA-304,18-04-2020,20:10:59,недостаточно средств,да,94.57
47449,физ. лицо,списание средств,1000.4,наличный,Гомель,Приорбанк-XEQY-357,29-08-2013,13:55:57,неправильный ввод пин-кода,да,99.09
47452,физ. лицо,списание средств,3828.82,наличный,Витебск,БелАгропромбанк-JFPN-658,27-10-2003,13:15:48,успешно,да,109.39
47461,юр. лицо,списание средств,3562.0,наличный,Брест,Приорбанк-WSBC-673,07-03-2020,08:17:33,недостаточно средств,да,152.98
47475,физ. лицо,списание средств,2335.41,наличный,Могилев,БелАгропромбанк-DGSU-341,15-02-2023,16:43:39,недостаточно средств,да,173.52
47481,юр. лицо,списание средств,3632.25,наличный,Могилев,Беларусбанк-ODBW-371,21-11-2021,17:52:51,успешно,да,81.52
47485,физ. лицо,списание средств,4556.59,безналичный,Гомель,БелАгропромбанк-RMRP-138,21-09-2024,06:11:51,успешно,да,334.19
47486,юр. лицо,списание средств,991.64,наличный,Минск,БелАгропромбанк-PYAP-741,16-12-2004,20:39:30,неправильный ввод пин-кода,да,23.84
47489,физ. лицо,списание средств,3670.88,наличный,Брест,Белинвестбанк-JKTK-921,17-01-2012,16:13:26,недостаточно средств,да,246.76
47492,физ. лицо,списание средств,1223.62,безналичный,Минск,Белинвестбанк-OTYT-820,04-07-2012,07:29:07,недостаточно средств,да,79.26
47501,юр. лицо,списание средств,4766.56,наличный,Минск,БелАгропромбанк-UDVK-054,29-04-2014,02:45:05,успешно,да,145.13
47507,юр. лицо,списание средств,3256.99,наличный,Могилев,Белинвестбанк-SMXK-273,27-11-2000,23:41:10,недостаточно средств,да,203.23
47517,юр. лицо,списание средств,1331.44,наличный,Могилев,Приорбанк-UHCZ-408,17-03-2002,16:39:19,неправильный ввод пин-кода,да,98.73
47519,физ. лицо,списание средств,1191.25,безналичный,Минск,БелАгропромбанк-KOPA-970,10-09-2011,20:04:09,неправильный ввод пин-кода,да,95.65
47522,физ. лицо,списание средств,1031.73,наличный,Брест,Белинвестбанк-HZQK-378,22-07-2010,23:21:55,недостаточно средств,да,20.58
47530,физ. лицо,списание средств,1282.76,наличный,Гродно,БелАгропромбанк-YMVF-714,24-08-2021,19:37:18,недостаточно средств,да,91.67
47540,физ. лицо,списание средств,3918.42,наличный,Гомель,МаксБанк-FAHL-728,16-12-2000,23:05:46,неправильный ввод пин-кода,да,250.55
47543,юр. лицо,списание средств,1796.06,наличный,Гродно,Белинвестбанк-TOJP-700,08-11-2002,21:40:15,недостаточно средств,да,86.46
47545,юр. лицо,списание средств,970.95,наличный,Брест,МаксБанк-HZKR-360,18-07-2015,04:49:33,успешно,да,71.99
47553,физ. лицо,списание средств,4339.13,безналичный,Витебск,Приорбанк-CYNP-763,10-01-2009,19:03:03,недостаточно средств,да,318.67
47558,физ. лицо,списание средств,2531.65,безналичный,Могилев,БелАгропромбанк-NQCM-541,09-05-2012,04:58:45,недостаточно средств,да,175.21
47559,физ. лицо,списание средств,4663.47,безналичный,Витебск,Приорбанк-REOL-051,18-07-2009,07:50:31,неправильный ввод пин-кода,да,288.15
47560,физ. лицо,списание средств,254.6,безналичный,Гомель,Белинвестбанк-THWN-573,15-10-2019,09:16:43,неправильный ввод пин-кода,да,9.42
47562,физ. лицо,списание средств,3294.29,безналичный,Минск,МаксБанк-VNTF-674,30-08-2015,05:05:12,успешно,да,328.36
47565,юр. лицо,списание средств,1654.8,безналичный,Брест,Беларусбанк-XHBH-763,06-05-2011,18:53:57,недостаточно средств,да,121.09
47568,физ. лицо,списание средств,3004.64,безналичный,Гомель,МаксБанк-QYQD-054,03-01-2023,17:19:07,неправильный ввод пин-кода,да,117.9
47574,физ. лицо,списание средств,4064.49,безналичный,Брест,БелАгропромбанк-HXFR-242,11-01-2009,05:13:50,неправильный ввод пин-кода,да,186.16
47580,юр. лицо,списание средств,4904.49,безналичный,Брест,Беларусбанк-DTMZ-511,25-04-2015,13:37:16,успешно,да,240.17
47589,физ. лицо,списание средств,3433.12,безналичный,Витебск,МаксБанк-ZCBH-061,25-12-2016,09:15:37,неправильный ввод пин-кода,да,99.93
47591,физ. лицо,списание средств,3360.29,наличный,Брест,Беларусбанк-XXMX-738,03-04-2004,21:47:44,недостаточно средств,да,196.93
47593,юр. лицо,списание средств,726.93,безналичный,Гомель,БелАгропромбанк-ORGD-090,21-02-2004,01:12:25,успешно,да,40.34
47596,физ. лицо,списание средств,726.53,безналичный,Брест,МаксБанк-CLAG-807,14-09-2000,08:02:44,успешно,да,66.92
47612,юр. лицо,списание средств,1059.5,наличный,Витебск,Белинвестбанк-NXSS-593,27-11-2023,00:13:05,успешно,да,94.94
47622,физ. лицо,списание средств,2243.24,наличный,Гомель,Приорбанк-KPOL-318,11-04-2010,08:52:42,недостаточно средств,да,160.58
47628,физ. лицо,списание средств,574.66,безналичный,Гродно,МаксБанк-ZGAD-659,15-11-2004,14:48:14,неправильный ввод пин-кода,да,28.92
47640,юр. лицо,списание средств,3427.04,безналичный,Могилев,Беларусбанк-LOMF-162,21-11-2015,23:53:42,неправильный ввод пин-кода,да,294.61
47648,юр. лицо,списание средств,2485.84,наличный,Витебск,Приорбанк-QBMU-346,23-03-2021,19:57:09,неправильный ввод пин-кода,да,122.03
47650,юр. лицо,списание средств,2394.24,наличный,Гродно,Белинвестбанк-AVTP-441,29-06-2020,16:03:33,успешно,да,123.7
47652,юр. лицо,списание средств,1507.96,безналичный,Минск,Беларусбанк-PEAT-474,26-09-2008,17:23:50,недостаточно средств,да,39.57
47658,физ. лицо,списание средств,3682.71,безналичный,Гродно,МаксБанк-QCCL-100,30-11-2012,18:10:21,неправильный ввод пин-кода,да,256.89
47669,юр. лицо,списание средств,4145.88,безналичный,Витебск,Беларусбанк-NHVV-326,08-11-2017,05:56:42,успешно,да,310.9
47674,юр. лицо,списание средств,2651.27,наличный,Гомель,БелАгропромбанк-KWGQ-440,18-04-2023,02:52:13,успешно,да,207.1
47681,юр. лицо,списание средств,4847.42,наличный,Могилев,Приорбанк-PFOA-815,28-03-2013,17:14:55,неправильный ввод пин-кода,да,461.75
47682,юр. лицо,списание средств,1762.83,наличный,Гомель,Приорбанк-FWHZ-568,17-07-2000,18:43:21,успешно,да,104.82
47707,физ. лицо,списание средств,2279.71,безналичный,Витебск,БелАгропромбанк-JCPV-952,04-03-2000,15:52:29,успешно,да,181.25
47714,юр. лицо,списание средств,3240.22,наличный,Гомель,Белинвестбанк-TZQN-810,26-12-2012,18:23:16,успешно,да,222.82
47717,физ. лицо,списание средств,4748.02,безналичный,Гомель,Белинвестбанк-GIZM-273,11-09-2005,00:04:07,недостаточно средств,да,149.75
47718,юр. лицо,списание средств,4261.48,наличный,Минск,БелАгропромбанк-IXIH-700,11-02-2013,21:42:18,успешно,да,81.99
47719,физ. лицо,списание средств,4232.52,наличный,Могилев,Беларусбанк-PJQL-704,24-05-2020,22:31:31,успешно,да,361.91
47721,физ. лицо,списание средств,2362.6,наличный,Гродно,Приорбанк-SAPI-433,05-04-2005,12:28:30,неправильный ввод пин-кода,да,109.79
47724,физ. лицо,списание средств,2936.97,наличный,Гродно,МаксБанк-FMNC-696,02-03-2010,01:28:54,неправильный ввод пин-кода,да,197.75
47733,физ. лицо,списание средств,646.79,безналичный,Гомель,МаксБанк-VKAZ-121,28-08-2006,00:36:07,успешно,да,56.01
47740,физ. лицо,списание средств,2494.06,наличный,Гродно,Приорбанк-CJZL-944,21-11-2013,22:36:15,недостаточно средств,да,147.04
47742,юр. лицо,списание средств,1832.38,безналичный,Могилев,БелАгропромбанк-LBPE-352,17-05-2024,11:56:05,недостаточно средств,да,125.97
47744,физ. лицо,списание средств,3075.34,безналичный,Минск,Беларусбанк-XZOL-524,21-08-2007,16:06:48,недостаточно средств,да,301.9
47746,физ. лицо,списание средств,1114.87,наличный,Гомель,МаксБанк-HPTI-704,03-04-2006,13:56:22,успешно,да,11.86
47748,юр. лицо,списание средств,4254.86,наличный,Могилев,Приорбанк-TMCQ-858,04-01-2010,21:30:24,недостаточно средств,да,136.72
47752,физ. лицо,списание средств,4854.38,безналичный,Минск,Приорбанк-ODNZ-079,17-12-2016,19:42:40,неправильный ввод пин-кода,да,112.8
47754,юр. лицо,списание средств,718.06,наличный,Гродно,МаксБанк-CBMR-468,25-11-2014,11:51:44,неправильный ввод пин-кода,да,33.91
47755,физ. лицо,списание средств,3378.32,безналичный,Брест,БелАгропромбанк-QOKX-897,07-02-2012,21:16:06,успешно,да,272.36
47757,физ. лицо,списание средств,1374.55,наличный,Минск,МаксБанк-LWHP-759,16-12-2024,22:57:39,успешно,да,15.77
47761,физ. лицо,списание средств,4731.93,безналичный,Гродно,Белинвестбанк-ICTN-021,01-06-2009,05:02:02,недостаточно средств,да,96.62
47764,физ. лицо,списание средств,4616.99,безналичный,Гомель,МаксБанк-DHCW-692,30-01-2014,11:39:16,недостаточно средств,да,441.85
47766,физ. лицо,списание средств,1381.75,наличный,Брест,Белинвестбанк-HUMO-995,29-08-2005,18:52:55,неправильный ввод пин-кода,да,38.35
47767,физ. лицо,списание средств,4382.51,наличный,Минск,Белинвестбанк-ABWG-604,27-02-2002,00:54:00,неправильный ввод пин-кода,да,349.04
47780,юр. лицо,списание средств,4322.18,безналичный,Гродно,МаксБанк-KPSW-284,10-11-2003,04:11:20,неправильный ввод пин-кода,да,346.88
47786,юр. лицо,списание средств,2063.17,безналичный,Гродно,Приорбанк-KJLS-589,09-09-2021,13:31:27,недостаточно средств,да,96.44
47787,юр. лицо,списание средств,564.47,безналичный,Гомель,Белинвестбанк-GUMP-559,05-06-2013,03:44:01,неправильный ввод пин-кода,да,48.07
47797,физ. лицо,списание средств,2194.12,наличный,Могилев,Беларусбанк-JLZE-612,26-11-2024,03:27:13,успешно,да,30.97
47802,юр. лицо,списание средств,1641.45,наличный,Брест,БелАгропромбанк-WMUH-959,21-11-2018,00:23:12,недостаточно средств,да,30.25
47810,физ. лицо,списание средств,1481.51,наличный,Брест,БелАгропромбанк-WXML-136,01-06-2011,20:35:43,недостаточно средств,да,144.91
47811,физ. лицо,списание средств,987.33,безналичный,Могилев,Беларусбанк-QRLJ-187,30-12-2016,03:42:08,успешно,да,63.36
47814,юр. лицо,списание средств,3331.05,безналичный,Гомель,МаксБанк-PZDG-126,10-09-2006,05:58:44,недостаточно средств,да,250.15
47817,юр. лицо,списание средств,3081.6,безналичный,Гомель,Приорбанк-DOHY-068,26-08-2021,04:40:13,неправильный ввод пин-кода,да,119.19
47820,физ. лицо,списание средств,4514.71,безналичный,Гомель,Беларусбанк-QHPU-315,18-04-2023,17:43:43,недостаточно средств,да,306.88
47827,юр. лицо,списание средств,2300.3,наличный,Могилев,Приорбанк-DBFY-280,08-11-2006,19:45:15,неправильный ввод пин-кода,да,105.48
47833,юр. лицо,списание средств,569.82,безналичный,Минск,МаксБанк-SVDB-894,30-08-2000,11:21:21,успешно,да,28.11
47834,юр. лицо,списание средств,962.6,безналичный,Могилев,БелАгропромбанк-RFPT-859,08-11-2001,06:35:37,успешно,да,85.42
47835,физ. лицо,списание средств,1645.19,безналичный,Брест,Приорбанк-XSOM-613,21-09-2014,04:02:07,успешно,да,114.89
47837,физ. лицо,списание средств,3985.77,наличный,Гомель,Приорбанк-OOJG-337,25-06-2018,23:13:28,успешно,да,308.64
47839,физ. лицо,списание средств,2168.87,наличный,Гомель,Беларусбанк-HUJX-949,14-03-2017,16:06:57,успешно,да,170.97
47843,юр. лицо,списание средств,1059.33,наличный,Витебск,Белинвестбанк-QHXF-797,06-03-2022,07:59:55,неправильный ввод пин-кода,да,84.32
47859,физ. лицо,списание средств,867.61,безналичный,Могилев,БелАгропромбанк-MFXE-396,04-11-2007,17:32:12,недостаточно средств,да,13.28
47860,физ. лицо,списание средств,1292.41,безналичный,Витебск,Беларусбанк-YXSV-666,30-06-2001,17:21:02,неправильный ввод пин-кода,да,35.61
47865,физ. лицо,списание средств,1946.86,наличный,Минск,МаксБанк-UBAR-895,23-12-2012,10:19:47,неправильный ввод пин-кода,да,147.97
47872,физ. лицо,списание средств,3849.07,наличный,Гродно,Беларусбанк-YBZI-693,21-04-2000,11:21:22,недостаточно средств,да,350.31
47879,юр. лицо,списание средств,807.74,безналичный,Минск,Белинвестбанк-GFTI-380,05-07-2017,07:08:16,неправильный ввод пин-кода,да,55.78
47888,физ. лицо,списание средств,18.0,безналичный,Минск,БелАгропромбанк-ZEAI-895,29-09-2023,10:29:36,неправильный ввод пин-кода,да,1.78
47891,физ. лицо,списание средств,2847.89,наличный,Витебск,Беларусбанк-YSOZ-689,11-05-2000,10:44:16,недостаточно средств,да,81.91
47896,юр. лицо,списание средств,2750.08,безналичный,Могилев,Приорбанк-CDEP-424,12-12-2014,10:02:00,неправильный ввод пин-кода,да,229.4
47899,юр. лицо,списание средств,652.42,наличный,Гродно,Беларусбанк-ZTBC-880,08-12-2010,00:42:57,недостаточно средств,да,20.9
47901,физ. лицо,списание средств,4707.57,безналичный,Брест,Приорбанк-JBHL-103,04-06-2008,00:25:59,неправильный ввод пин-кода,да,119.42
47905,юр. лицо,списание средств,1208.89,безналичный,Могилев,МаксБанк-HGTK-556,24-10-2002,21:19:22,недостаточно средств,да,15.43
47907,физ. лицо,списание средств,1533.1,наличный,Гомель,Белинвестбанк-OEBH-509,08-05-2010,17:45:01,неправильный ввод пин-кода,да,44.43
47922,физ. лицо,списание средств,4278.07,наличный,Витебск,Приорбанк-LVZH-926,07-10-2012,06:52:44,неправильный ввод пин-кода,да,342.36
47928,физ. лицо,списание средств,3950.26,наличный,Гомель,Приорбанк-UZEY-964,10-01-2024,20:35:26,недостаточно средств,да,209.06
47934,физ. лицо,списание средств,1872.92,безналичный,Брест,Беларусбанк-SAHW-386,02-12-2008,03:52:20,неправильный ввод пин-кода,да,134.76
47940,физ. лицо,списание средств,2982.23,наличный,Минск,Белинвестбанк-WMGR-257,08-08-2015,12:17:57,успешно,да,174.56
47942,физ. лицо,списание средств,191.3,наличный,Витебск,Беларусбанк-KDCQ-366,31-10-2009,11:09:43,неправильный ввод пин-кода,да,11.15
47949,физ. лицо,списание средств,2086.59,безналичный,Могилев,БелАгропромбанк-BAVV-824,18-04-2011,18:26:22,недостаточно средств,да,173.16
47954,физ. лицо,списание средств,1741.32,безналичный,Витебск,МаксБанк-ZWZZ-221,22-10-2016,20:40:40,недостаточно средств,да,55.98
47965,физ. лицо,списание средств,3315.38,наличный,Брест,Приорбанк-GUZD-064,29-11-2022,21:56:50,неправильный ввод пин-кода,да,323.48
47971,юр. лицо,списание средств,4566.33,наличный,Могилев,Белинвестбанк-ZXWT-573,04-08-2013,10:15:31,недостаточно средств,да,313.85
47972,юр. лицо,списание средств,3938.74,безналичный,Могилев,БелАгропромбанк-RRNM-180,17-06-2001,09:13:08,неправильный ввод пин-кода,да,95.29
47984,физ. лицо,списание средств,4063.68,безналичный,Витебск,МаксБанк-TYWJ-740,01-05-2021,10:36:38,неправильный ввод пин-кода,да,182.5
47985,физ. лицо,списание средств,4288.37,наличный,Минск,Приорбанк-DXWK-339,04-01-2000,20:43:51,неправильный ввод пин-кода,да,259.45
47997,физ. лицо,списание средств,1529.94,наличный,Витебск,Приорбанк-QIGA-968,04-08-2000,02:32:55,успешно,да,141.42
48000,юр. лицо,списание средств,895.88,безналичный,Витебск,БелАгропромбанк-GYCM-150,02-08-2000,05:28:28,успешно,да,16.25
48005,физ. лицо,списание средств,3874.28,наличный,Гродно,Беларусбанк-LZWP-992,01-02-2012,18:24:45,недостаточно средств,да,173.93
48011,физ. лицо,списание средств,3346.7,наличный,Могилев,Беларусбанк-LEJZ-850,25-10-2005,09:45:58,недостаточно средств,да,188.8
48025,юр. лицо,списание средств,1590.29,безналичный,Минск,Беларусбанк-IRCP-779,27-04-2014,22:51:16,недостаточно средств,да,43.44
48030,юр. лицо,списание средств,2682.94,наличный,Могилев,БелАгропромбанк-HJEP-100,27-02-2009,21:01:09,успешно,да,59.59
48031,юр. лицо,списание средств,3630.98,наличный,Гомель,БелАгропромбанк-DYPA-200,08-05-2006,13:31:57,успешно,да,289.61
48041,физ. лицо,списание средств,4695.34,безналичный,Гомель,БелАгропромбанк-SGQF-797,08-04-2019,08:07:40,недостаточно средств,да,404.45
48055,юр. лицо,списание средств,4580.06,безналичный,Гродно,Белинвестбанк-TICY-781,20-02-2001,16:56:11,недостаточно средств,да,449.5
48060,юр. лицо,списание средств,2706.63,наличный,Гродно,БелАгропромбанк-VAAE-231,16-08-2008,04:05:43,успешно,да,44.01
48062,физ. лицо,списание средств,4744.39,наличный,Витебск,БелАгропромбанк-SOMM-157,28-05-2010,20:31:15,успешно,да,367.52
48065,физ. лицо,списание средств,4953.68,наличный,Витебск,Приорбанк-WRPA-326,29-06-2024,18:28:56,неправильный ввод пин-кода,да,235.32
